# x	y
567	480
321	592
979	589
954	512
999	603
908	577
1014	589
573	257
325	412
360	470
366	517
338	520
356	564
361	548
322	476
403	485
289	477
276	262
266	276
100	221
159	304
253	283
285	608
892	308
827	261
276	442
563	211
610	345
527	285
528	255
556	254
568	233
630	314
885	378
456	147
454	148
770	368
881	482
496	225
638	344
559	287
571	300
265	392
784	293
768	210
537	247
671	536
857	445
566	313
702	537
229	382
192	384
861	266
581	535
1050	660
1045	645
1052	668
265	485
613	224
458	317
492	305
400	310
772	139
657	213
940	319
932	180
865	453
585	587
618	570
605	585
942	31
511	313
505	297
851	401
681	370
697	372
513	213
519	236
300	264
253	361
234	310
270	297
138	324
248	345
253	359
123	277
125	311
162	290
128	315
298	425
